gpasp,587,counted
gpasp,2,counted
gpasp,1861,counted
gpasp,1656,counted
gpasp,82,counted
gpasp,679,counted
gpasp,194,counted
gpasp,302,counted
gpasp,1032,counted
gpasp,401,counted
gpasp,836,counted
gpasp,830,counted
gpasp,2,counted
gpasp,770,counted
gpasp,609,counted
gpasp,992,counted
gpasp,539,counted
gpasp,3522,counted
gpasp,2827,counted
gpasp,559,counted
gpasp,7978,counted
gpasp,320,counted
gpasp,495,counted
gpasp,315,counted
gpasp,1502,counted
gpasp,1663,counted
gpasp,613,counted
gpasp,2220,counted
gpasp,129,counted
gpasp,867,counted
gpasp,2,counted
gpasp,211,counted
gpasp,660,counted
gpasp,2611,counted
gpasp,791,counted
gpasp,669,counted
gpasp,620,counted
gpasp,20,counted
gpasp,265,counted
gpasp,1121,counted
gpasp,331,counted
gpasp,2521,counted
gpasp,34,counted
gpasp,10,counted
gpasp,1429,counted
gpasp,1115,counted
gpasp,0,counted
gpasp,509,counted
gpasp,234,counted
gpasp,789,counted
gpasp,800,counted
gpasp,2093,counted
gpasp,1132,counted
gpasp,421,counted
gpasp,34,counted
gpasp,227,counted
gpasp,163,counted
gpasp,226,counted
gpasp,657,counted
gpasp,222,counted
gpasp,219,counted
gpasp,2494,counted
gpasp,2572,counted
gpasp,260,counted
gpasp,408,counted
gpasp,208,counted
gpasp,267,counted
gpasp,103,counted
gpasp,14,counted
gpasp,233,counted
gpasp,2349,counted
gpasp,327,counted
gpasp,1709,counted
gpasp,654,counted
gpasp,251,counted
gpasp,12,counted
gpasp,206,counted
gpasp,549,counted
gpasp,782,counted
gpasp,1577,counted
gpasp,1773,counted
gpasp,1619,counted
gpasp,520,counted
gpasp,919,counted
gpasp,923,counted
gpasp,802,counted
gpasp,2313,counted
gpasp,1178,counted
gpasp,95,counted
gpasp,333,counted
gpasp,680,counted
gpasp,1202,counted
gpasp,1095,counted
gpasp,875,counted
gpasp,3735,counted
gpasp,524,counted
gpasp,4,counted
gpasp,79,counted
gpasp,497,counted
gpasp,2181,counted
gpasp,796,counted
gpasp,791,counted
gpasp,1015,counted
gpasp,3869,counted
gpasp,229,counted
gpasp,601,counted
gpasp,131,counted
gpasp,271,counted
gpasp,76,counted
gpasp,1407,counted
gpasp,1212,counted
gpasp,917,counted
gpasp,97,counted
gpasp,46,counted
gpasp,1697,counted
gpasp,1363,counted
gpasp,1949,counted
gpasp,697,counted
gpasp,862,counted
gpasp,636,counted
gpasp,942,counted
gpasp,1308,counted
gpasp,218,counted
gpasp,2102,counted
gpasp,4294,counted
gpasp,5671,counted
gpasp,604,counted
gpasp,801,counted
gpasp,2319,counted
gpasp,2860,counted
gpasp,3930,counted
gpasp,7220,counted
gpasp,2974,counted
gpasp,1234,counted
gpasp,1167,counted
gpasp,15,counted
gpasp,0,counted
gpasp,13,counted
gpasp,379,counted
gpasp,897,counted
gpasp,3607,counted
gpasp,4233,counted
gpasp,770,counted
gpasp,577,counted
gpasp,5166,counted
gpasp,1077,counted
gpasp,440,counted
gpasp,1036,counted
gpasp,2009,counted
gpasp,10974,total
spr1,332,counted
spr1,159,counted
spr1,1227,counted
spr1,1001,counted
spr1,235,counted
spr1,458,counted
spr1,366,counted
spr1,372,counted
spr1,2472,counted
spr1,1180,counted
spr1,489,counted
spr1,656,counted
spr1,0,counted
spr1,2328,counted
spr1,1179,counted
spr1,1277,counted
spr1,611,counted
spr1,3042,counted
spr1,2563,counted
spr1,440,counted
spr1,8073,counted
spr1,1087,counted
spr1,1254,counted
spr1,1063,counted
spr1,2268,counted
spr1,2102,counted
spr1,1281,counted
spr1,3459,counted
spr1,237,counted
spr1,1215,counted
spr1,0,counted
spr1,276,counted
spr1,380,counted
spr1,1844,counted
spr1,689,counted
spr1,299,counted
spr1,998,counted
spr1,713,counted
spr1,3781,counted
spr1,1355,counted
spr1,320,counted
spr1,2630,counted
spr1,43,counted
spr1,42,counted
spr1,1296,counted
spr1,1168,counted
spr1,0,counted
spr1,407,counted
spr1,216,counted
spr1,708,counted
spr1,516,counted
spr1,3698,counted
spr1,3187,counted
spr1,1953,counted
spr1,238,counted
spr1,354,counted
spr1,274,counted
spr1,362,counted
spr1,2191,counted
spr1,430,counted
spr1,224,counted
spr1,2516,counted
spr1,2177,counted
spr1,222,counted
spr1,361,counted
spr1,202,counted
spr1,284,counted
spr1,220,counted
spr1,58,counted
spr1,210,counted
spr1,4601,counted
spr1,217,counted
spr1,3335,counted
spr1,490,counted
spr1,235,counted
spr1,737,counted
spr1,1725,counted
spr1,3317,counted
spr1,572,counted
spr1,1743,counted
spr1,1884,counted
