flow,node,dec_count,dec_time_avg,dec_time_std
1,global,1,0.43729686737060547,0.0
2,global,1,0.4579348564147949,0.0
3,global,1,0.4107356071472168,0.0
4,global,1,0.45136332511901855,0.0
5,global,1,0.42078161239624023,0.0
6,global,1,0.4127960205078125,0.0
7,global,1,0.4055824279785156,0.0
8,global,1,0.48575735092163086,0.0
9,global,1,0.44481945037841797,0.0
10,global,1,0.41888427734375,0.0
11,global,1,0.41847825050354004,0.0
12,global,1,0.42047119140625,0.0
13,global,1,0.4596743583679199,0.0
14,global,1,0.45568084716796875,0.0
15,global,1,0.48676013946533203,0.0
16,global,1,0.4493978023529053,0.0
17,global,1,0.4232912063598633,0.0
18,global,1,0.45688486099243164,0.0
19,global,1,0.42283010482788086,0.0
20,global,1,0.46143317222595215,0.0
21,global,1,0.48665928840637207,0.0
22,global,1,0.4640994071960449,0.0
23,global,1,0.48139095306396484,0.0
24,global,1,0.44326353073120117,0.0
25,global,1,0.4195995330810547,0.0
26,global,1,0.44188380241394043,0.0
27,global,1,0.4514281749725342,0.0
28,global,1,0.5201659202575684,0.0
29,global,1,0.46311044692993164,0.0
30,global,1,0.4404592514038086,0.0
31,global,1,0.42174553871154785,0.0
32,global,1,0.44934701919555664,0.0
33,global,1,0.4187650680541992,0.0
34,global,1,0.4718949794769287,0.0
35,global,1,0.46423864364624023,0.0
36,global,1,0.5060803890228271,0.0
37,global,1,0.4793882369995117,0.0
38,global,1,0.5013043880462646,0.0
39,global,1,0.47793126106262207,0.0
40,global,1,0.4985172748565674,0.0
41,global,1,0.46934080123901367,0.0
42,global,1,0.4414994716644287,0.0
43,global,1,0.4628937244415283,0.0
44,global,1,0.4752790927886963,0.0
45,global,1,0.47890138626098633,0.0
46,global,1,0.5046467781066895,0.0
47,global,1,0.4494295120239258,0.0
48,global,1,0.4571053981781006,0.0
49,global,1,0.4831125736236572,0.0
50,global,1,0.46542787551879883,0.0
51,global,1,0.42099666595458984,0.0
52,global,1,0.47376132011413574,0.0
53,global,1,0.44284868240356445,0.0
54,global,1,0.4781498908996582,0.0
55,global,1,0.45769190788269043,0.0
56,global,1,0.41479992866516113,0.0
57,global,1,0.4224226474761963,0.0
58,global,1,0.4798007011413574,0.0
59,global,1,0.4773221015930176,0.0
60,global,1,0.5022127628326416,0.0
61,global,1,0.4227182865142822,0.0
62,global,1,0.4616398811340332,0.0
63,global,1,0.4274015426635742,0.0
64,global,1,0.420062780380249,0.0
65,global,1,0.4134178161621094,0.0
66,global,1,0.5028271675109863,0.0
67,global,1,0.46924567222595215,0.0
68,global,1,0.4718337059020996,0.0
69,global,1,0.46044278144836426,0.0
70,global,1,0.6246907711029053,0.0
71,global,1,0.49362754821777344,0.0
72,global,1,0.5017292499542236,0.0
73,global,1,0.4140357971191406,0.0
74,global,1,0.41609978675842285,0.0
75,global,1,0.47621989250183105,0.0
76,global,1,0.5336728096008301,0.0
77,global,1,0.48806285858154297,0.0
78,global,1,0.41869330406188965,0.0
79,global,1,0.4526848793029785,0.0
80,global,1,0.49251270294189453,0.0
81,global,1,0.4781811237335205,0.0
82,global,1,0.47457003593444824,0.0
83,global,1,0.413543701171875,0.0
84,global,1,0.4414486885070801,0.0
85,global,1,0.4961574077606201,0.0
86,global,1,0.505751371383667,0.0
87,global,1,0.5425388813018799,0.0
88,global,1,0.4731462001800537,0.0
