time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,5,0,0,5,0,0,0,2.8,0,0.0,0,0,0.0,0.0
100,115,74,5,36,8.788819500399692,30.157555683041696,4.979732058741872,2.6782608695652175,5.157534246575342,13.095652173913043,17.2972972972973,13.162162162162161,0.06317328136073709,0.013406384157318929
200,236,178,17,41,10.510145181952629,32.64748753935514,4.9552345603559225,2.707627118644068,5.663768115942029,16.559322033898304,19.39887640449438,14.348314606741573,0.07014813941608694,0.015795422262148806
300,350,283,28,39,9.481769472277842,33.24910292378431,4.981430444277611,2.6914285714285713,5.6779981114258735,17.18,19.84452296819788,14.26148409893993,0.07413494809688581,0.017086224689512784
400,466,381,38,47,9.895135154043217,33.730144669955024,5.014909448179163,2.680257510729614,5.762037683182135,17.718884120171673,20.278215223097114,14.238845144356956,0.07612339963973723,0.01785556678361507
500,577,495,49,33,9.600793922998637,33.652945731043424,5.002669134449174,2.6741767764298094,5.807501378929951,18.24783362218371,20.307070707070707,14.080808080808081,0.0777627835447901,0.018186943129742283
600,696,601,57,38,9.220694443859246,33.61590146360775,5.004769389741243,2.660919540229885,5.831204379562044,18.364942528735632,20.34109816971714,13.945091514143094,0.07821615414061463,0.018315107088538108
700,814,711,63,40,9.960512872135249,33.3801088543068,5.016197095863912,2.6461916461916464,5.782135922330097,18.291154791154792,20.088607594936708,13.839662447257384,0.07693159194508124,0.017909946450854416
800,919,812,74,33,9.753675297047621,33.26690462652891,5.008871017768599,2.646354733405876,5.765855330819335,18.301414581066375,20.017241379310345,13.841133004926109,0.07541824510124352,0.017545099630635785
900,1038,916,85,37,9.550404778814302,33.34515293229704,4.999692598736705,2.651252408477842,5.78252957233849,18.36705202312139,20.12772925764192,13.907205240174672,0.07526973902536481,0.0176623419810419
1000,1155,1023,95,37,9.23640412484899,33.37600499838424,5.003910082779353,2.651082251082251,5.805782869612657,18.427705627705627,20.145650048875854,13.991202346041055,0.07489653961273142,0.017668325754049287
