time,node,node_capacity,used_resources
0,pop0,10,0
0,pop1,10,0
0,pop2,10,0
0,pop3,10,0
0,pop4,10,0
0,pop5,10,0
0,pop6,10,0
0,pop7,10,0
0,pop8,10,0
0,pop9,10,0
0,pop10,10,0
0,pop11,10,0
0,pop12,10,0
0,pop13,10,0
0,pop14,10,0
0,pop15,10,0
0,pop16,10,0
0,pop17,10,0
0,pop18,10,0
0,pop19,10,0
0,pop20,10,0
0,pop21,10,0
0,pop22,10,0
0,pop23,10,0
0,pop24,10,0
0,pop25,10,0
0,pop26,10,0
0,pop27,10,0
0,pop28,10,0
0,pop29,10,0
0,pop30,10,0
0,pop31,10,0
0,pop32,10,0
0,pop33,10,0
0,pop34,10,0
0,pop35,10,0
0,pop36,10,0
0,pop37,10,0
0,pop38,10,0
0,pop39,10,0
0,pop40,10,0
0,pop41,10,0
0,pop42,10,0
0,pop43,10,0
0,pop44,10,0
0,pop45,10,0
0,pop46,10,0
0,pop47,10,0
0,pop48,10,0
0,pop49,10,0
0,pop50,10,0
0,pop51,10,0
0,pop52,10,0
0,pop53,10,0
0,pop54,10,0
0,pop55,10,0
0,pop56,10,0
0,pop57,10,0
100,pop0,10,4.0
100,pop1,10,6.0
100,pop2,10,8.0
100,pop3,10,10.0
100,pop4,10,0.0
100,pop5,10,6.0
100,pop6,10,6.0
100,pop7,10,10.0
100,pop8,10,2.0
100,pop9,10,0.0
100,pop10,10,4.0
100,pop11,10,0.0
100,pop12,10,0.0
100,pop13,10,6.0
100,pop14,10,10.0
100,pop15,10,2.0
100,pop16,10,5.0
100,pop17,10,6.0
100,pop18,10,4.0
100,pop19,10,10.0
100,pop20,10,4.0
100,pop21,10,0.0
100,pop22,10,6.0
100,pop23,10,4.0
100,pop24,10,2.0
100,pop25,10,4.0
100,pop26,10,0.0
100,pop27,10,10.0
100,pop28,10,10.0
100,pop29,10,0
100,pop30,10,6.0
100,pop31,10,3.0
100,pop32,10,2.0
100,pop33,10,10.0
100,pop34,10,4.0
100,pop35,10,4.0
100,pop36,10,0.0
100,pop37,10,0.0
100,pop38,10,6.0
100,pop39,10,5.0
100,pop40,10,0.0
100,pop41,10,10.0
100,pop42,10,3.0
100,pop43,10,10.0
100,pop44,10,5.0
100,pop45,10,0.0
100,pop46,10,1.0
100,pop47,10,9.0
100,pop48,10,10.0
100,pop49,10,4.0
100,pop50,10,9.0
100,pop51,10,7.0
100,pop52,10,10.0
100,pop53,10,2.0
100,pop54,10,0.0
100,pop55,10,7.0
100,pop56,10,5.0
100,pop57,10,1.0
