time,node,decisions
1000,pop0,74
1000,pop1,1601
1000,pop2,1090
1000,pop3,645
1000,pop4,190
1000,pop5,626
1000,pop6,913
1000,pop7,361
1000,pop8,997
1000,pop9,67
1000,pop10,1629
1000,pop11,70
1000,pop12,174
1000,pop13,120
1000,pop14,121
1000,pop15,1059
1000,pop16,589
1000,pop17,1301
1000,pop18,348
1000,pop19,1149
1000,pop20,259
1000,pop21,282
1000,pop22,801
1000,pop23,7
1000,pop24,4
1000,pop25,821
1000,pop26,164
1000,pop27,941
1000,pop28,705
1000,pop29,139
1000,pop30,33
1000,pop31,65
1000,pop32,289
1000,pop33,1135
1000,pop34,659
1000,pop35,178
1000,pop36,651
1000,pop37,91
1000,pop38,77
1000,pop39,104
1000,pop40,952
1000,pop41,723
1000,pop42,713
1000,pop43,1059
1000,pop44,112
1000,pop45,40
1000,pop46,770
1000,pop47,153
1000,pop48,580
1000,pop49,262
1000,pop50,3503
1000,pop51,5652
1000,pop52,2952
1000,pop53,3253
1000,pop54,68
1000,pop55,1237
1000,pop56,1573
1000,pop57,649
