time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,16,0,0,16,0,0,0,2.75,0,0.0,0,0,0.0,0.0
100,395,202,0,193,0,42.45888744217876,5.036125377520843,2.6582278481012658,6.44060773480663,23.610126582278482,29.287128712871286,18.876237623762375,0.2759166879073653,0.09174282974668946
200,746,561,0,185,0,46.20546700298791,5.020580566049549,2.6769436997319036,6.531322505800464,30.187667560321717,32.8270944741533,20.40106951871658,0.2842798215477184,0.10214400076469007
300,1120,947,0,173,0,46.66133989780747,5.004508050053523,2.664285714285714,6.4963281389933725,32.38303571428571,33.30095036958817,20.76663146779303,0.2933138025144814,0.1085258472552866
400,1469,1289,0,180,0,46.2744428575516,5.003130605986747,2.667801225323349,6.4991346025828785,33.230088495575224,32.98525989138867,20.584173778122576,0.2853651346818916,0.1082356147154384
500,1826,1647,0,179,0,46.4905625524126,4.990305154306311,2.670865279299014,6.445798059054305,34.191675794085434,33.16514875531269,20.785670916818457,0.28445963445315664,0.11087484035759833
600,2178,1991,0,187,0,46.33361976910397,4.98701167031701,2.669421487603306,6.399038866874631,34.848025711662075,33.01456554495228,20.675037669512808,0.2844814876948887,0.1133034863471499
700,2511,2349,0,162,0,46.330768586132955,4.994652396917721,2.6714456391875747,6.334467361258771,35.592592592592595,33.02043422733078,20.667518092805448,0.28599082111546126,0.11576846508653099
800,2879,2677,0,202,0,46.28273170576151,4.998459379864175,2.6738450850989928,6.288318703578663,35.58284126432789,32.934628315278296,20.625700410907733,0.28475343148799676,0.11681693886380537
900,3227,3036,0,191,0,46.22563424951521,4.990686245512056,2.672141307716145,6.239229384989944,36.53052370622869,32.901185770750985,20.52239789196311,0.2860230357473704,0.12060935166308781
1000,3569,3375,0,194,0,46.2372094826863,4.994377289044299,2.6682544130008408,6.1979690658643225,36.93947884561502,32.91466666666667,20.438222222222223,0.28411355845514014,0.12191834421331049
