flow,node,dec_count,dec_time_avg,dec_time_std
1,global,2,0.3159363269805908,0.0958089828491211
2,global,1,0.19242596626281738,0.0
3,global,1,0.20314264297485352,0.0
4,global,1,0.20850324630737305,0.0
5,global,1,0.17805719375610352,0.0
6,global,1,0.17890024185180664,0.0
7,global,2,0.3105196952819824,0.11059689521789551
8,global,1,0.21298480033874512,0.0
9,global,1,0.18044400215148926,0.0
10,global,1,0.23197531700134277,0.0
11,global,1,0.17793011665344238,0.0
12,global,1,0.19466137886047363,0.0
13,global,3,0.3802611033121745,0.1472180855594719
14,global,1,0.22015953063964844,0.0
15,global,1,0.19443631172180176,0.0
16,global,5,0.44428329467773436,0.12450820720828341
17,global,1,0.1981344223022461,0.0
18,global,1,0.24698972702026367,0.0
19,global,2,0.4659343957901001,0.001544356346130371
20,global,1,0.20121479034423828,0.0
21,global,2,0.2927478551864624,0.08070886135101318
22,global,1,0.1840970516204834,0.0
23,global,1,0.19199419021606445,0.0
24,global,1,0.25527048110961914,0.0
25,global,1,0.300692081451416,0.0
26,global,1,0.17674660682678223,0.0
27,global,1,0.22124862670898438,0.0
28,global,1,0.19968867301940918,0.0
29,global,1,0.3833141326904297,0.0
30,global,3,0.4730353355407715,0.08651824045532495
31,global,1,0.44768762588500977,0.0
32,global,1,0.35862302780151367,0.0
33,global,2,0.41172027587890625,0.005751371383666992
34,global,1,0.391190767288208,0.0
35,global,1,0.38947057723999023,0.0
36,global,1,0.3897111415863037,0.0
37,global,1,0.3549530506134033,0.0
38,global,1,0.3570411205291748,0.0
39,global,1,0.4292926788330078,0.0
40,global,2,0.34739792346954346,0.0021375417709350586
41,global,1,0.38830995559692383,0.0
42,global,1,0.3615283966064453,0.0
43,global,1,0.35103511810302734,0.0
44,global,1,0.5347166061401367,0.0
45,global,1,0.426159143447876,0.0
46,global,1,0.38917016983032227,0.0
47,global,1,0.41147804260253906,0.0
48,global,1,0.3653988838195801,0.0
49,global,1,0.3676455020904541,0.0
50,global,1,0.3889334201812744,0.0
51,global,1,0.40291881561279297,0.0
52,global,3,0.4668692747751872,0.05980391916792868
53,global,1,0.40456724166870117,0.0
54,global,2,0.4342985153198242,0.025684356689453125
55,global,1,0.395538330078125,0.0
56,global,1,0.5003306865692139,0.0
57,global,1,0.4021739959716797,0.0
58,global,1,0.41497254371643066,0.0
59,global,1,0.39731431007385254,0.0
60,global,1,0.3984556198120117,0.0
61,global,2,0.404482364654541,0.0011758804321289062
62,global,2,0.45774173736572266,0.012372255325317383
63,global,1,0.37538933753967285,0.0
64,global,1,0.417940616607666,0.0
65,global,2,0.39437127113342285,0.009398221969604492
66,global,2,0.3705257177352905,0.002042412757873535
67,global,2,0.4002418518066406,0.01685643196105957
68,global,1,0.3575012683868408,0.0
69,global,1,0.22748589515686035,0.0
70,global,2,0.36628687381744385,0.15019023418426514
71,global,1,0.17754721641540527,0.0
72,global,1,0.24816346168518066,0.0
73,global,3,0.5253799756368002,0.07266366923169035
74,global,2,0.45315849781036377,0.03800094127655029
75,global,2,0.22508883476257324,0.030467510223388672
76,global,1,0.4140756130218506,0.0
77,global,1,0.4057624340057373,0.0
78,global,2,0.40308284759521484,0.0036683082580566406
79,global,1,0.4235115051269531,0.0
80,global,1,0.4276847839355469,0.0
81,global,1,0.4352865219116211,0.0
82,global,2,0.39304888248443604,0.01066434383392334
83,global,1,0.3534541130065918,0.0
84,global,1,0.41683244705200195,0.0
85,global,2,0.418235182762146,0.040641188621520996
86,global,2,0.31405508518218994,0.08826649188995361
87,global,1,0.4050469398498535,0.0
88,global,1,0.41623568534851074,0.0
89,global,2,0.4406317472457886,0.001407027244567871
90,global,1,0.4155149459838867,0.0
91,global,2,0.4619741439819336,0.006394624710083008
92,global,2,0.4360388517379761,0.0051451921463012695
93,global,2,0.48672258853912354,0.06715500354766846
94,global,1,0.4099588394165039,0.0
95,global,1,0.3998405933380127,0.0
96,global,2,0.4433211088180542,0.004852175712585449
97,global,2,0.46901774406433105,0.03844428062438965
98,global,3,0.4455191294352214,0.017679904160941094
99,global,1,0.34536051750183105,0.0
100,global,2,0.4536219835281372,0.003961682319641113
101,global,1,0.44988298416137695,0.0
102,global,1,0.5472836494445801,0.0
103,global,1,0.43536877632141113,0.0
104,global,1,0.3637375831604004,0.0
105,global,2,0.4617605209350586,0.03454136848449707
106,global,1,0.36460018157958984,0.0
107,global,1,0.4568939208984375,0.0
108,global,1,0.37201762199401855,0.0
109,global,2,0.4808574914932251,0.016400933265686035
110,global,2,0.4861319065093994,0.004529237747192383
111,global,2,0.46764492988586426,0.012563467025756836
112,global,2,0.4451260566711426,0.010338068008422852
113,global,1,0.43297433853149414,0.0
114,global,1,0.5571262836456299,0.0
115,global,1,0.4199333190917969,0.0
116,global,1,0.3808860778808594,0.0
117,global,1,0.50431227684021,0.0
118,global,1,0.4278266429901123,0.0
119,global,1,0.4464540481567383,0.0
120,global,2,0.35958242416381836,6.914138793945312e-05
121,global,3,0.39260371526082355,0.12853159054084345
122,global,4,0.45721375942230225,0.04243268760768783
123,global,2,0.47830986976623535,0.012845993041992188
124,global,2,0.38929319381713867,0.009526968002319336
125,global,1,0.36962890625,0.0
126,global,1,0.3657245635986328,0.0
127,global,3,0.5082642237345377,0.04127900489855838
128,global,1,0.4013819694519043,0.0
129,global,1,0.4218556880950928,0.0
130,global,1,0.4232218265533447,0.0
131,global,1,0.43501973152160645,0.0
132,global,2,0.44807469844818115,0.006949782371520996
133,global,3,0.45444758733113605,0.022674493525254788
134,global,1,0.45151257514953613,0.0
135,global,2,0.4492112398147583,0.017730116844177246
136,global,1,0.3712930679321289,0.0
137,global,2,0.4675353765487671,0.010927081108093262
138,global,1,0.36971569061279297,0.0
139,global,1,0.48933911323547363,0.0
140,global,1,0.3844928741455078,0.0
141,global,2,0.4380793571472168,0.009631156921386719
142,global,1,0.37957048416137695,0.0
143,global,1,0.39046692848205566,0.0
144,global,1,0.3717379570007324,0.0
145,global,1,0.47392940521240234,0.0
146,global,1,0.3723783493041992,0.0
147,global,3,0.47635674476623535,0.041418000809298784
148,global,1,0.43601393699645996,0.0
149,global,1,0.3737752437591553,0.0
150,global,1,0.43599939346313477,0.0
151,global,2,0.47408807277679443,0.025132298469543457
152,global,1,0.4324355125427246,0.0
153,global,1,0.508732795715332,0.0
154,global,1,0.45682549476623535,0.0
155,global,1,0.48295068740844727,0.0
156,global,2,0.4931788444519043,0.047364234924316406
157,global,2,0.4738856554031372,0.036997199058532715
158,global,3,0.5018994013468424,0.017481781363133837
159,global,1,0.4692349433898926,0.0
160,global,1,0.3692283630371094,0.0
161,global,1,0.4526522159576416,0.0
162,global,2,0.3808823823928833,0.005174040794372559
163,global,2,0.3923400640487671,0.07009398937225342
164,global,1,0.5546774864196777,0.0
165,global,1,0.4527437686920166,0.0
166,global,1,0.49333953857421875,0.0
167,global,1,0.3774130344390869,0.0
168,global,1,0.36990928649902344,0.0
169,global,1,0.45124030113220215,0.0
170,global,3,0.4719407558441162,0.014212458228466349
171,global,2,0.4403887987136841,0.006923317909240723
172,global,1,0.43767547607421875,0.0
173,global,1,0.3660285472869873,0.0
174,global,1,0.43437910079956055,0.0
175,global,1,0.5030636787414551,0.0
176,global,1,0.45412111282348633,0.0
177,global,2,0.3973078727722168,0.013958930969238281
178,global,1,0.43533849716186523,0.0
179,global,2,0.33423733711242676,0.1134634017944336
180,global,4,0.4092712998390198,0.014891587995399011
181,global,1,0.38394832611083984,0.0
182,global,1,0.44304347038269043,0.0
183,global,1,0.37030649185180664,0.0
184,global,5,0.3853437900543213,0.009865642489742067
185,global,1,0.3766789436340332,0.0
186,global,1,0.4747793674468994,0.0
187,global,1,0.3618123531341553,0.0
188,global,1,0.3873708248138428,0.0
189,global,1,0.4830138683319092,0.0
190,global,1,0.45766377449035645,0.0
191,global,3,0.4963781038920085,0.014372037833475775
192,global,1,0.44801950454711914,0.0
193,global,1,0.5125412940979004,0.0
194,global,1,0.5572006702423096,0.0
195,global,2,0.4541229009628296,0.002252936363220215
196,global,2,0.3748292922973633,0.009521245956420898
197,global,2,0.37549543380737305,0.0022313594818115234
198,global,1,0.47736477851867676,0.0
199,global,1,0.405381441116333,0.0
200,global,1,0.19360828399658203,0.0
201,global,1,0.23162150382995605,0.0
202,global,1,0.22876548767089844,0.0
203,global,1,0.23781132698059082,0.0
204,global,2,0.2279571294784546,0.04218423366546631
205,global,1,0.1820974349975586,0.0
206,global,3,0.5107103983561198,0.13405074099793893
207,global,1,0.38437724113464355,0.0
208,global,1,0.18790578842163086,0.0
209,global,1,0.3995859622955322,0.0
210,global,2,0.5085016489028931,0.007026791572570801
211,global,1,0.45745086669921875,0.0
212,global,1,0.45896029472351074,0.0
213,global,1,0.37462425231933594,0.0
214,global,1,0.4744865894317627,0.0
215,global,2,0.493236780166626,0.0665585994720459
216,global,2,0.2951498031616211,0.08195137977600098
217,global,1,0.26488161087036133,0.0
218,global,2,0.4381304979324341,0.057561516761779785
