time,node,node_capacity,used_resources
0,pop0,0,0
0,pop1,10,0
0,pop2,10,0
0,pop3,0,0
0,pop4,0,0
0,pop5,10,0
0,pop6,10,0
0,pop7,0,0
0,pop8,0,0
0,pop9,10,0
0,pop10,0,0
0,pop11,50,0
0,pop12,0,0
0,pop13,0,0
0,pop14,0,0
0,pop15,10,0
0,pop16,10,0
0,pop17,10,0
0,pop18,10,0
0,pop19,10,0
0,pop20,0,0
0,pop21,0,0
0,pop22,10,0
0,pop23,0,0
0,pop24,10,0
0,pop25,0,0
0,pop26,0,0
0,pop27,0,0
0,pop28,0,0
0,pop29,10,0
0,pop30,10,0
0,pop31,0,0
0,pop32,10,0
0,pop33,10,0
0,pop34,0,0
0,pop35,0,0
0,pop36,10,0
0,pop37,0,0
0,pop38,0,0
0,pop39,10,0
0,pop40,10,0
0,pop41,0,0
0,pop42,0,0
0,pop43,0,0
0,pop44,10,0
0,pop45,10,0
0,pop46,0,0
0,pop47,0,0
0,pop48,10,0
0,pop49,0,0
0,pop50,0,0
0,pop51,0,0
0,pop52,0,0
0,pop53,0,0
0,pop54,10,0
0,pop55,10,0
0,pop56,10,0
0,pop57,0,0
