time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,11,0,0,11,0,0,0,2.909090909090909,0,0.0,0,0,0.0,0.0
100,242,115,0,127,0,45.12057646154244,4.971347485166507,2.6818181818181817,6.073482428115016,23.56611570247934,31.94782608695652,22.182608695652174,0.19252368223597804,0.056369834216262654
200,496,371,0,125,0,47.22703190886838,4.956257907467396,2.6794354838709675,6.229773462783172,31.048387096774192,34.107816711590296,21.757412398921833,0.22105432940451494,0.07110349609110374
300,750,624,1,125,40.2931028122179,48.02514963776155,4.943404143978014,2.6746666666666665,6.198630136986301,33.78666666666667,34.84134615384615,21.815705128205128,0.22663165166023627,0.07716334915292092
400,1021,875,1,145,40.2931028122179,48.11950348403074,4.953418754810065,2.670910871694417,6.108635097493036,34.36630754162586,34.968,22.05485714285714,0.2288393652752077,0.07846199663894146
500,1278,1134,1,143,40.2931028122179,48.33945853870647,4.961161224962415,2.6658841940532083,6.0860158311345645,36.09702660406886,35.123456790123456,22.217813051146383,0.23367096165518692,0.08271615993127669
600,1527,1390,2,135,42.1732961126725,48.58179019234955,4.976441498004815,2.658808120497708,6.028059071729958,37.42370661427636,35.388489208633096,22.327338129496404,0.23275176962676838,0.08483137324516671
700,1758,1620,2,136,42.1732961126725,48.573833816251515,4.97749054988104,2.659840728100114,5.971565240499602,38.346416382252556,35.34567901234568,22.354938271604937,0.23072392872759,0.08590411069061103
800,2012,1871,3,138,34.78219740844833,48.6950405846059,4.9897513910209925,2.6605367793240555,5.93970266394989,39.11878727634195,35.46659540352753,22.332442544094068,0.2317487352973423,0.08805765326705721
900,2253,2105,3,145,34.78219740844833,48.694716637996436,4.988708422286185,2.6582334664891256,5.901178964101206,39.54549489569463,35.45178147268408,22.285510688836105,0.2329704022392697,0.08897360111153406
1000,2480,2356,3,121,34.78219740844833,48.71872211386105,4.995151195280324,2.6596774193548387,5.8830602381233055,40.24677419354839,35.44949066213922,22.3276740237691,0.23190269990965093,0.08960109185373363
