time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,28,0,0,28,0,0,0,2.75,0,0.0,0,0,0.0,0.0
100,656,233,237,186,18.794407960441028,33.14470328787734,4.982433578320654,2.669207317073171,5.644171779141105,11.21951219512195,20.17167381974249,16.21030042918455,0.10262840675979297,0.2869512552505621
200,1269,562,531,176,19.791999933378673,35.48005094890202,4.987064603816737,2.665090622537431,5.852360227653164,13.775413711583925,22.389679715302492,17.30427046263345,0.10035764024288428,0.3086165116149553
300,1898,886,823,189,20.194325596540914,36.08609758708781,4.9814553976731695,2.678609062170706,5.904381610187784,14.412539515279242,22.8431151241535,17.54627539503386,0.10019930707402412,0.31189462356473585
400,2524,1213,1115,196,20.303358019691,36.642972378041115,4.9834765904148135,2.677892234548336,5.9305468258956635,14.95324881141046,23.305853256389117,17.77164056059357,0.09928584557175546,0.3134875165121595
500,3146,1561,1394,191,20.389288638863693,36.79001456686165,4.992000971472806,2.6764144945963126,5.952227323489267,15.247616020343292,23.418962203715566,17.754644458680332,0.09911309175920689,0.3146179907152742
600,3726,1901,1656,169,20.432163531088495,36.950780095293105,4.99260675449835,2.6776704240472355,5.96685878962536,15.559312936124531,23.566543924250393,17.914255654918463,0.09855866505674965,0.3127931565498366
700,4363,2211,1966,186,20.482015836128227,36.824074956842516,4.999780274556683,2.6724730689892278,5.95474118991124,15.530369012147604,23.463591135232928,17.813206693803707,0.09911586222147369,0.31579812680915703
800,4984,2549,2253,182,20.43930950489693,36.921806924143695,4.9989735860632,2.6713483146067416,5.9536655997561345,15.674959871589085,23.555511965476658,17.84503726951746,0.09894884257900223,0.31656301785168367
900,5570,2867,2517,186,20.474462680962873,36.99071765032432,5.0003711541167375,2.6691202872531417,5.961627432303715,15.731418312387792,23.65852807813045,17.994768050226718,0.09820412167820627,0.31584294215876035
