,flow,node,dec_count,dec_time_avg,dec_time_std
0,1,global,1,0.3286736011505127,0.0
1,2,global,1,0.3183441162109375,0.0
2,3,global,1,0.3109760284423828,0.0
3,4,global,1,0.32051849365234375,0.0
4,5,global,1,0.3104994297027588,0.0
5,6,global,1,0.34903478622436523,0.0
6,7,global,1,0.3595917224884033,0.0
7,8,global,1,0.41376495361328125,0.0
8,9,global,1,0.3401455879211426,0.0
9,10,global,1,0.3019142150878906,0.0
10,11,global,1,0.2857849597930908,0.0
11,12,global,1,0.31439971923828125,0.0
12,13,global,1,0.3405280113220215,0.0
13,14,global,1,0.2790398597717285,0.0
14,15,global,1,0.3674509525299072,0.0
15,16,global,1,0.2834014892578125,0.0
16,17,global,1,0.2870333194732666,0.0
17,18,global,1,0.3025496006011963,0.0
18,19,global,1,0.31439995765686035,0.0
19,20,global,1,0.30397748947143555,0.0
20,21,global,1,0.34429049491882324,0.0
21,22,global,1,0.33235788345336914,0.0
22,23,global,1,0.31121182441711426,0.0
23,24,global,1,0.3016636371612549,0.0
24,25,global,1,0.27968311309814453,0.0
25,26,global,1,0.31165361404418945,0.0
26,27,global,1,0.3240396976470947,0.0
27,28,global,1,0.3062722682952881,0.0
28,29,global,1,0.30669641494750977,0.0
29,30,global,1,0.3275413513183594,0.0
30,31,global,1,0.2949810028076172,0.0
31,32,global,1,0.33269572257995605,0.0
32,33,global,1,0.30773138999938965,0.0
33,34,global,1,0.3216862678527832,0.0
34,35,global,1,0.3291330337524414,0.0
35,36,global,1,0.3393120765686035,0.0
36,37,global,1,0.33609938621520996,0.0
37,38,global,1,0.31393861770629883,0.0
38,39,global,1,0.32477664947509766,0.0
39,40,global,1,0.277620792388916,0.0
40,41,global,1,0.3493642807006836,0.0
41,42,global,1,0.33889317512512207,0.0
42,43,global,1,0.3141171932220459,0.0
43,44,global,1,0.31543850898742676,0.0
44,45,global,1,0.31580281257629395,0.0
45,46,global,1,0.2869441509246826,0.0
46,47,global,1,0.30364513397216797,0.0
47,48,global,1,0.16451048851013184,0.0
48,49,global,1,0.16622710227966309,0.0
49,50,global,1,0.1649305820465088,0.0
50,51,global,1,0.1696763038635254,0.0
51,52,global,1,0.16428160667419434,0.0
52,53,global,1,0.15234708786010742,0.0
53,54,global,1,0.19199132919311523,0.0
54,55,global,1,0.16723012924194336,0.0
55,56,global,1,0.15555286407470703,0.0
56,57,global,1,0.14614629745483398,0.0
57,58,global,1,0.16516351699829102,0.0
58,59,global,1,0.1625385284423828,0.0
59,60,global,1,0.17357969284057617,0.0
60,61,global,1,0.16353154182434082,0.0
61,62,global,1,0.15009212493896484,0.0
62,63,global,1,0.15078282356262207,0.0
63,64,global,1,0.1718275547027588,0.0
64,65,global,1,0.174241304397583,0.0
65,66,global,1,0.16633319854736328,0.0
66,67,global,1,0.17827558517456055,0.0
67,68,global,1,0.15068650245666504,0.0
68,69,global,1,0.16741275787353516,0.0
69,70,global,1,0.17315077781677246,0.0
70,71,global,1,0.1657545566558838,0.0
71,72,global,1,0.17520594596862793,0.0
72,73,global,1,0.20057225227355957,0.0
73,74,global,1,0.15795421600341797,0.0
74,75,global,1,0.18173766136169434,0.0
75,76,global,1,0.17823100090026855,0.0
76,77,global,1,0.18126392364501953,0.0
77,78,global,1,0.17551016807556152,0.0
78,79,global,1,0.17115569114685059,0.0
79,80,global,1,0.20630192756652832,0.0
80,81,global,1,0.1906740665435791,0.0
81,82,global,1,0.17224836349487305,0.0
82,83,global,1,0.18483924865722656,0.0
83,84,global,1,0.1759781837463379,0.0
84,85,global,1,0.17480254173278809,0.0
85,86,global,1,0.18909835815429688,0.0
86,87,global,1,0.17501139640808105,0.0
87,88,global,1,0.17790937423706055,0.0
88,89,global,1,0.17410564422607422,0.0
89,90,global,1,0.18564653396606445,0.0
90,91,global,1,0.2260150909423828,0.0
91,92,global,1,0.15643954277038574,0.0
92,93,global,1,0.17447900772094727,0.0
93,94,global,1,0.16042757034301758,0.0
94,95,global,1,0.16487550735473633,0.0
95,96,global,1,0.17885470390319824,0.0
96,97,global,1,0.2128744125366211,0.0
97,98,global,1,0.1833336353302002,0.0
98,99,global,1,0.18284940719604492,0.0
99,100,global,1,0.15810680389404297,0.0
100,101,global,1,0.1862044334411621,0.0
101,102,global,1,0.16135168075561523,0.0
102,103,global,1,0.218994140625,0.0
103,104,global,1,0.19770550727844238,0.0
104,105,global,1,0.1969590187072754,0.0
105,106,global,1,0.17067241668701172,0.0
106,107,global,1,0.15711688995361328,0.0
107,108,global,1,0.1738283634185791,0.0
108,109,global,1,0.17661786079406738,0.0
109,110,global,1,0.16561150550842285,0.0
110,111,global,1,0.1758882999420166,0.0
111,112,global,1,0.21626830101013184,0.0
112,113,global,1,0.219740629196167,0.0
113,114,global,1,0.20112133026123047,0.0
114,115,global,1,0.15382623672485352,0.0
115,116,global,1,0.1631925106048584,0.0
116,117,global,1,0.18671083450317383,0.0
117,118,global,1,0.1995995044708252,0.0
118,119,global,1,0.15754270553588867,0.0
119,120,global,1,0.17762041091918945,0.0
120,121,global,1,0.15468239784240723,0.0
121,122,global,1,0.16145110130310059,0.0
122,123,global,1,0.1821119785308838,0.0
123,124,global,1,0.1828470230102539,0.0
124,125,global,1,0.21777915954589844,0.0
125,126,global,1,0.19514226913452148,0.0
126,127,global,1,0.15931057929992676,0.0
127,128,global,1,0.18661999702453613,0.0
128,129,global,1,0.1801462173461914,0.0
129,130,global,1,0.17427444458007812,0.0
130,131,global,1,0.19182801246643066,0.0
131,132,global,1,0.19472050666809082,0.0
