time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,12,0,0,12,0,0,0,2.75,0,0.0,0,0,0.0,0.0
100,277,149,0,128,0,36.27053851861531,5.055317107673492,2.6534296028880866,5.848484848484849,18.812274368231048,22.885906040268456,15.496644295302014,0.17980354497957382,0.05305544065480888
200,546,415,0,131,0,40.10122585558863,5.0235515176670225,2.661172161172161,6.186311787072244,23.83882783882784,26.783132530120483,16.337349397590362,0.18567816454188682,0.06095267122147255
300,815,700,0,115,0,40.790429577782646,5.013502656846533,2.6638036809815953,6.2622613803230545,26.16319018404908,27.492857142857144,16.65,0.18940291562198558,0.06414053404506083
400,1088,972,0,116,0,41.24468786200837,5.00809686886446,2.6590073529411766,6.307414489058848,27.287683823529413,27.94341563786008,16.96604938271605,0.1934440218245369,0.06668951723617444
500,1365,1236,0,129,0,41.24211764835236,5.0070792523784435,2.6644688644688643,6.320817411530155,27.871794871794872,27.933656957928804,16.82928802588997,0.19354717881522226,0.06791919838955275
600,1631,1496,0,135,0,41.28520695407368,5.0116795016252285,2.6670754138565296,6.290446208595675,28.177805027590434,27.94385026737968,16.81216577540107,0.1941028108974364,0.06823031687824249
700,1892,1774,0,118,0,41.3409505742791,5.01146189549353,2.666490486257928,6.284730195177956,28.932346723044397,28.00958286358512,16.886696730552423,0.19194390285807203,0.06910679357518508
800,2175,2045,0,130,0,41.43742468946517,5.0198358620135,2.6620689655172414,6.29140127388535,29.064827586206896,28.10562347188264,16.980929095354522,0.190632697025559,0.06924987280411077
900,2438,2315,0,123,0,41.444789349478455,5.0199131243468775,2.655865463494668,6.311114988658175,29.67104183757178,28.104535637149027,16.990928725701945,0.18890402004574314,0.06995502536860618
1000,2685,2562,0,123,0,41.5610669619691,5.024275131034542,2.656610800744879,6.3113697122189025,29.894972067039106,28.230288836846213,17.030054644808743,0.18668514619396565,0.06975036543576699
