time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,24,0,0,24,0,0,0,2.625,0,0.0,0,0,0.0,0.0
100,544,308,0,236,0,37.25237066855711,4.948521107793819,2.6746323529411766,5.400202122283982,19.645220588235293,24.0974025974026,16.324675324675326,0.3440359897172175,0.09807446148391083
200,1079,856,0,223,0,39.72468851950192,4.96274002596827,2.674698795180723,5.5246939636977626,24.25949953660797,26.44626168224299,16.435747663551403,0.3790631593960113,0.11919465955719617
300,1648,1403,3,242,35.362291957450914,40.20466960568289,4.971025957753603,2.6692961165048543,5.532509334363332,26.074635922330096,26.89878831076265,16.52601568068425,0.3960983503649188,0.12816705445486304
400,2168,1936,4,228,35.24639786378046,40.23592004694286,4.984975107670431,2.6669741697416973,5.51165851823994,27.039667896678967,26.940599173553718,16.494834710743802,0.39401692962074847,0.1293831796377544
500,2693,2452,5,236,32.423859102268025,40.10402227405181,4.989134406732611,2.6728555514296324,5.478804827789226,27.644262903824732,26.79078303425775,16.3278955954323,0.39797245498602024,0.13293069480965206
600,3249,3003,8,238,25.859226090077623,40.25978432628644,4.989038426077985,2.6663588796552786,5.4653818700927905,28.280701754385966,26.935730935730934,16.443556443556442,0.4002437616581518,0.1363600757917307
700,3776,3516,8,252,25.859226090077623,40.28813192809299,4.995669108266789,2.6692266949152543,5.445101478326234,28.775688559322035,26.96018202502844,16.493174061433447,0.4017958330948209,0.13869471709111414
800,4317,4049,12,256,117.7234028647538,40.33537237521592,4.992126011905275,2.6692147324530926,5.426731009522168,29.175121612230715,27.010372931588048,16.51691775747098,0.4001767406292057,0.140653097707848
900,4848,4581,14,253,104.63706697120075,40.39710748679587,4.99696630302755,2.6681105610561056,5.4012852012852015,29.47421617161716,27.062431783453395,16.58611656843484,0.39892586103771216,0.141981119945489
1000,5362,5098,14,250,104.63706697120075,40.376418144088944,4.9949707315383804,2.6719507646400595,5.399690579490802,29.941999254009698,27.040604158493526,16.622008630835623,0.39802269906570953,0.14367905304712178
