time,node,decisions
1000,pop0,57
1000,pop1,192
1000,pop2,296
1000,pop3,574
1000,pop4,1451
1000,pop5,4
1000,pop6,436
1000,pop7,641
1000,pop8,332
1000,pop9,0
1000,pop10,232
1000,pop11,5
1000,pop12,851
1000,pop13,212
1000,pop14,371
1000,pop15,547
1000,pop16,526
1000,pop17,287
1000,pop18,1683
1000,pop19,694
1000,pop20,1032
1000,pop21,466
1000,pop22,807
1000,pop23,1222
1000,pop24,164
1000,pop25,402
1000,pop26,680
1000,pop27,286
1000,pop28,1583
1000,pop29,219
1000,pop30,573
1000,pop31,53
1000,pop32,311
1000,pop33,0
1000,pop34,0
1000,pop35,147
1000,pop36,157
1000,pop37,219
1000,pop38,473
1000,pop39,531
1000,pop40,238
1000,pop41,812
1000,pop42,2691
1000,pop43,707
1000,pop44,1045
1000,pop45,313
1000,pop46,479
1000,pop47,317
1000,pop48,865
1000,pop49,603
1000,pop50,1857
1000,pop51,2577
1000,pop52,2105
1000,pop53,2192
1000,pop54,624
1000,pop55,559
1000,pop56,2724
1000,pop57,0
