time,node,node_capacity,used_resources
0,pop0,0,0
0,pop1,0,0
0,pop2,0,0
0,pop3,10,0
0,pop4,10,0
0,pop5,0,0
0,pop6,0,0
0,pop7,0,0
0,pop8,0,0
0,pop9,0,0
0,pop10,10,0
0,pop11,10,0
0,pop12,0,0
0,pop13,50,0
0,pop14,0,0
0,pop15,10,0
0,pop16,0,0
0,pop17,0,0
0,pop18,10,0
0,pop19,10,0
0,pop20,10,0
0,pop21,0,0
0,pop22,10,0
0,pop23,10,0
0,pop24,0,0
0,pop25,50,0
0,pop26,10,0
0,pop27,50,0
0,pop28,0,0
0,pop29,10,0
0,pop30,50,0
0,pop31,0,0
0,pop32,50,0
0,pop33,0,0
0,pop34,0,0
0,pop35,0,0
0,pop36,0,0
0,pop37,0,0
0,pop38,10,0
0,pop39,10,0
0,pop40,0,0
0,pop41,10,0
0,pop42,50,0
0,pop43,10,0
0,pop44,0,0
0,pop45,0,0
0,pop46,10,0
0,pop47,0,0
0,pop48,0,0
0,pop49,10,0
0,pop50,10,0
0,pop51,10,0
0,pop52,50,0
0,pop53,10,0
0,pop54,50,0
0,pop55,10,0
0,pop56,0,0
0,pop57,0,0
100,pop0,0,0
100,pop1,0,0
100,pop2,0,0
100,pop3,10,1.0
100,pop4,10,0.0
100,pop5,0,0
100,pop6,0,0
100,pop7,0,0
100,pop8,0,0
100,pop9,0,0
100,pop10,10,0
100,pop11,10,0.0
100,pop12,0,0
100,pop13,50,20.0
100,pop14,0,0
100,pop15,10,4.0
100,pop16,0,0
100,pop17,0,0
100,pop18,10,0.0
100,pop19,10,4.0
100,pop20,10,4.0
100,pop21,0,0
100,pop22,10,0.0
100,pop23,10,7.0
100,pop24,0,0
100,pop25,50,0
100,pop26,10,5.0
100,pop27,50,20.0
100,pop28,0,0
100,pop29,10,9.0
100,pop30,50,12.0
100,pop31,0,0
100,pop32,50,0.0
100,pop33,0,0
100,pop34,0,0
100,pop35,0,0
100,pop36,0,0
100,pop37,0,0
100,pop38,10,7.0
100,pop39,10,2.0
100,pop40,0,0
100,pop41,10,0.0
100,pop42,50,10.0
100,pop43,10,4.0
100,pop44,0,0
100,pop45,0,0
100,pop46,10,8.0
100,pop47,0,0
100,pop48,0,0
100,pop49,10,0
100,pop50,10,5.0
100,pop51,10,6.0
100,pop52,50,47.0
100,pop53,10,7.0
100,pop54,50,0.0
100,pop55,10,3.0
100,pop56,0,0
100,pop57,0,0
200,pop0,0,0
200,pop1,0,0
200,pop2,0,0
200,pop3,10,9.0
200,pop4,10,0.0
200,pop5,0,0
200,pop6,0,0
200,pop7,0,0
200,pop8,0,0
200,pop9,0,0
200,pop10,10,0.0
200,pop11,10,4.0
200,pop12,0,0
200,pop13,50,16.0
200,pop14,0,0
200,pop15,10,0.0
200,pop16,0,0
200,pop17,0,0
200,pop18,10,0.0
200,pop19,10,6.0
200,pop20,10,4.0
200,pop21,0,0
200,pop22,10,0.0
200,pop23,10,9.0
200,pop24,0,0
200,pop25,50,0
200,pop26,10,2.0
200,pop27,50,28.0
200,pop28,0,0
200,pop29,10,4.0
200,pop30,50,16.0
200,pop31,0,0
200,pop32,50,0.0
200,pop33,0,0
200,pop34,0,0
200,pop35,0,0
200,pop36,0,0
200,pop37,0,0
200,pop38,10,5.0
200,pop39,10,5.0
200,pop40,0,0
200,pop41,10,0.0
200,pop42,50,0.0
200,pop43,10,6.0
200,pop44,0,0
200,pop45,0,0
200,pop46,10,5.0
200,pop47,0,0
200,pop48,0,0
200,pop49,10,0
200,pop50,10,3.0
200,pop51,10,5.0
200,pop52,50,48.0
200,pop53,10,7.0
200,pop54,50,2.0
200,pop55,10,5.0
200,pop56,0,0
200,pop57,0,0
300,pop0,0,0
300,pop1,0,0
300,pop2,0,0
300,pop3,10,6.0
300,pop4,10,0.0
300,pop5,0,0
300,pop6,0,0
300,pop7,0,0
300,pop8,0,0
300,pop9,0,0
300,pop10,10,6.0
300,pop11,10,0.0
300,pop12,0,0
300,pop13,50,12.0
300,pop14,0,0
300,pop15,10,4.0
300,pop16,0,0
300,pop17,0,0
300,pop18,10,0.0
300,pop19,10,6.0
300,pop20,10,4.0
300,pop21,0,0
300,pop22,10,2.0
300,pop23,10,2.0
300,pop24,0,0
300,pop25,50,0
300,pop26,10,4.0
300,pop27,50,20.0
300,pop28,0,0
300,pop29,10,0.0
300,pop30,50,23.0
300,pop31,0,0
300,pop32,50,10.0
300,pop33,0,0
300,pop34,0,0
300,pop35,0,0
300,pop36,0,0
300,pop37,0,0
300,pop38,10,5.0
300,pop39,10,5.0
300,pop40,0,0
300,pop41,10,0.0
300,pop42,50,4.0
300,pop43,10,8.0
300,pop44,0,0
300,pop45,0,0
300,pop46,10,6.0
300,pop47,0,0
300,pop48,0,0
300,pop49,10,0
300,pop50,10,7.0
300,pop51,10,7.0
300,pop52,50,47.0
300,pop53,10,6.0
300,pop54,50,18.0
300,pop55,10,5.0
300,pop56,0,0
300,pop57,0,0
400,pop0,0,0
400,pop1,0,0
400,pop2,0,0
400,pop3,10,2.0
400,pop4,10,0.0
400,pop5,0,0
400,pop6,0,0
400,pop7,0,0
400,pop8,0,0
400,pop9,0,0
400,pop10,10,0.0
400,pop11,10,0.0
400,pop12,0,0
400,pop13,50,9.0
400,pop14,0,0
400,pop15,10,4.0
400,pop16,0,0
400,pop17,0,0
400,pop18,10,6.0
400,pop19,10,4.0
400,pop20,10,2.0
400,pop21,0,0
400,pop22,10,10.0
400,pop23,10,5.0
400,pop24,0,0
400,pop25,50,6.0
400,pop26,10,5.0
400,pop27,50,8.0
400,pop28,0,0
400,pop29,10,6.0
400,pop30,50,12.0
400,pop31,0,0
400,pop32,50,0.0
400,pop33,0,0
400,pop34,0,0
400,pop35,0,0
400,pop36,0,0
400,pop37,0,0
400,pop38,10,6.0
400,pop39,10,3.0
400,pop40,0,0
400,pop41,10,0.0
400,pop42,50,28.0
400,pop43,10,0.0
400,pop44,0,0
400,pop45,0,0
400,pop46,10,8.0
400,pop47,0,0
400,pop48,0,0
400,pop49,10,0.0
400,pop50,10,5.0
400,pop51,10,4.0
400,pop52,50,45.0
400,pop53,10,6.0
400,pop54,50,0.0
400,pop55,10,7.0
400,pop56,0,0
400,pop57,0,0
