time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,17,0,0,17,0,0,0,2.6470588235294117,0,0.0,0,0,0.0,0.0
100,389,237,0,152,0,37.667023507879485,5.0145882681531875,2.634961439588689,5.508279337652988,19.668380462724937,24.540084388185655,15.540084388185655,0.26676916601386513,0.07619385667803996
200,804,615,0,189,0,39.38213005748661,5.032180550905846,2.6492537313432836,5.686009767308245,24.6181592039801,26.195121951219512,16.364227642276422,0.29455851045521475,0.09491964884803429
300,1197,1024,0,173,0,41.06504774236528,5.018314223849023,2.6449456975772767,5.71241598868058,26.982456140350877,27.791015625,16.326171875,0.2971061519001558,0.10095317707188489
400,1555,1391,0,164,0,40.79730628437616,5.019301663361826,2.640514469453376,5.740194788102132,28.0475884244373,27.58447160316319,16.505391804457226,0.2912175402196713,0.10119913061772925
500,1943,1769,1,173,18.81135869519771,40.52611496678469,5.0255919120466475,2.6489963973237263,5.743949309234445,28.45959855892949,27.28829847371396,16.4624081401922,0.2874386395512113,0.10090126479313521
600,2311,2142,1,168,18.81135869519771,40.37619764700432,5.018885095590774,2.6555603634790135,5.735019288469782,28.94807442665513,27.088702147525677,16.37955182072829,0.28339334017062284,0.10140368774406357
700,2683,2506,1,176,18.81135869519771,40.05342035173193,5.014085817371467,2.6630637346254193,5.714129881463166,29.286246738725307,26.727853152434157,16.345570630486833,0.28209547826411374,0.10235181253351358
800,3075,2869,1,205,18.81135869519771,40.035674637865704,5.0161383833739865,2.665040650406504,5.716265135438772,29.784065040650407,26.70512373649355,16.40118508191007,0.2849483893829862,0.10542035077429467
900,3458,3287,1,170,18.81135869519771,40.237516530331405,5.018004570663071,2.6657027183342974,5.708331074855006,30.454887218045112,26.874961971402495,16.467903863705505,0.2859229067918135,0.10752154726263834
1000,3835,3642,1,192,18.81135869519771,40.103009244445374,5.016757480045709,2.665449804432855,5.691885119506553,30.8,26.749038989566174,16.495881383855025,0.2863350720240489,0.10911468338929059
