time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,27,0,0,27,0,0,0,2.740740740740741,0,0.0,0,0,0.0,0.0
100,641,316,1,324,40.87657215674217,38.97387246737867,4.999781327262602,2.6957878315132606,6.233669443226655,22.182527301092044,25.794303797468356,17.79113924050633,0.3932585725604104,0.15338096895292985
200,1232,840,3,389,27.679733011398483,45.32519557937458,5.000619088000458,2.6858766233766236,6.145276292335116,33.57954545454545,32.069047619047616,18.666666666666668,0.42572776615511654,0.2264113255209486
300,1860,1405,20,435,56.28866323624932,48.04693585621019,5.009288653247704,2.675268817204301,5.943203272498427,40.61827956989247,34.7153024911032,19.127402135231318,0.4461525638405205,0.2883852311527695
400,2489,1961,41,487,94.64458520802319,49.47651928500564,5.001230256711531,2.678585777420651,5.777374315961745,45.38569706709522,36.15145334013258,19.26925038245793,0.45014135739624694,0.33121714596164464
500,3080,2506,73,501,114.8846703646697,50.30187339251194,4.998612993674919,2.6801948051948052,5.688332719911667,50.17922077922078,36.96209098164405,19.206304868316042,0.45065435250837654,0.3686998622162393
600,3667,3027,121,519,132.8902005623018,50.875578771389726,5.004115098391379,2.683119716389419,5.616965121888923,53.97463866921189,37.5183349851338,19.10075982821275,0.45203102702145515,0.4003889390418547
700,4281,3565,164,552,160.1700902987348,51.31473827628128,5.004132670574373,2.683718757299696,5.574276483123668,56.82480728801682,37.945301542776996,19.116129032258065,0.45260067039997165,0.42407918271269
800,4891,4116,212,563,159.72418145684804,51.52864653623126,5.004140808771905,2.683091392353302,5.556787499281898,59.32958495195257,38.15208940719145,19.136297376093296,0.45123721746110107,0.4441557247868454
900,5468,4670,262,536,176.7284925012121,51.56726049668882,5.002351804333029,2.6812362838332113,5.535609259228836,61.621616678858814,38.18244111349036,19.17708779443255,0.4493997097051971,0.4592759996283034
1000,6047,5168,313,566,180.14772634985147,51.560033526641206,5.005570116666182,2.681825698693567,5.5149678234888535,63.4909872664131,38.189434984520126,19.159249226006192,0.4483750795029194,0.47217361564730337
